Id,Class
1333,M-BART50
1334,Human
1340,M-BART50
1342,ruT5-Base-Multitask
1343,Human
1344,Human
1349,ruT5-Base
1351,Human
1353,ruGPT3-Large
1355,OPUS-MT
1365,ruGPT3-Large
1366,Human
1368,Human
1369,Human
1374,OPUS-MT
1376,Human
1382,ruGPT3-Large
1388,ruGPT3-Small
1400,Human
1410,M2M-100
1417,Human
1418,ruGPT3-Small
1420,M2M-100
1421,Human
1424,M-BART50
1426,ruGPT3-Medium
1427,ruGPT3-Small
1428,M-BART50
1429,ruGPT3-Small
1430,ruGPT2-Large
1442,M-BART50
1446,Human
1450,Human
1452,Human
1455,M-BART50
1469,M2M-100
1476,ruGPT2-Large
1482,ruGPT3-Large
1486,M-BART50
1502,Human
1505,Human
1507,M-BART50
1508,Human
1510,M2M-100
1512,ruT5-Large
1517,M2M-100
1518,Human
1520,M-BART50
1522,ruT5-Base
1527,M-BART50
1530,Human
1533,OPUS-MT
1539,Human
1545,Human
1546,Human
1547,ruT5-Large
1548,Human
1551,Human
1552,Human
1553,Human
1557,M-BART50
1559,mT5-Small
1561,M-BART50
1562,Human
1565,Human
1568,Human
1569,Human
1570,Human
1572,ruT5-Base-Multitask
1577,ruGPT3-Large
1578,Human
1586,ruGPT3-Large
1587,ruGPT3-Large
1589,Human
1591,OPUS-MT
1592,M2M-100
1593,Human
1594,Human
1595,ruGPT3-Large
1600,Human
1604,OPUS-MT
1605,M2M-100
1608,ruGPT3-Medium
1609,Human
1612,mT5-Small
1615,mT5-Small
1620,M-BART50
1621,M2M-100
1624,Human
1625,OPUS-MT
1626,Human
1628,OPUS-MT
1630,ruGPT3-Small
1631,Human
1632,Human
1633,M-BART
1636,M-BART
1640,OPUS-MT
1642,M2M-100
1643,ruT5-Large
1645,ruT5-Base
1646,Human
1651,ruGPT3-Medium
1653,M-BART50
1656,M2M-100
1660,Human
1664,M-BART50
1668,ruGPT3-Large
1670,OPUS-MT
1677,Human
1685,M2M-100
1689,Human
1691,M-BART50
1693,Human
1694,M-BART50
1696,ruGPT3-Medium
1697,ruGPT3-Medium
1698,mT5-Large
1699,Human
1705,M2M-100
1711,ruT5-Base-Multitask
1712,ruGPT3-Large
1715,Human
1716,M2M-100
1717,ruT5-Large
1719,ruT5-Large
1723,Human
1724,Human
1727,Human
1728,ruGPT3-Medium
1729,M-BART50
1732,ruGPT3-Medium
1733,M2M-100
1738,Human
1740,Human
1741,M-BART50
1743,ruGPT3-Large
1747,OPUS-MT
1748,Human
1753,M-BART50
1757,M-BART50
1758,Human
1759,Human
1760,Human
1769,M-BART50
1773,Human
1779,ruT5-Base
1780,OPUS-MT
1783,M2M-100
1792,Human
1795,Human
1800,Human
1802,M-BART
1803,Human
1804,Human
1807,Human
1812,Human
1813,Human
1815,M-BART50
1817,M-BART50
1819,Human
1821,M-BART50
1823,ruT5-Base-Multitask
1825,M-BART50
1828,Human
1836,ruGPT3-Small
1840,OPUS-MT
1841,Human
1843,M-BART
1845,M-BART50
1848,Human
1849,ruGPT3-Large
1851,M2M-100
1853,Human
1855,Human
1858,M-BART50
1860,ruGPT3-Medium
1861,Human
1873,mT5-Large
1876,OPUS-MT
1878,ruGPT3-Large
1879,Human
1880,ruGPT3-Large
1881,ruT5-Base
1884,Human
1894,Human
1900,ruT5-Large
1902,ruGPT3-Small
1908,M2M-100
1916,OPUS-MT
1918,M-BART50
1919,ruT5-Base-Multitask
1920,ruGPT3-Medium
1923,OPUS-MT
1938,ruGPT3-Large
1940,M-BART50
1945,ruT5-Base
1947,Human
1952,Human
1956,Human
1958,M2M-100
1961,Human
1962,ruGPT3-Medium
1963,ruGPT3-Large
1965,M-BART50
1967,mT5-Large
1970,Human
1976,ruGPT3-Small
1978,ruGPT3-Medium
1979,Human
1980,Human
1981,Human
1986,ruT5-Base
1990,Human
1991,ruT5-Base-Multitask
1994,M2M-100
1995,M-BART50
1997,Human
2001,M-BART50
2002,ruGPT3-Medium
2010,ruT5-Base
2014,Human
2015,Human
2023,M2M-100
2026,ruT5-Large
2031,M2M-100
2033,ruGPT3-Large
2034,OPUS-MT
2036,Human
2048,Human
2049,Human
2051,ruGPT2-Large
2053,M-BART50
2055,Human
2056,ruGPT3-Small
2062,ruT5-Large
2063,Human
2065,ruGPT3-Medium
2069,Human
2073,Human
2075,Human
2079,Human
2081,ruGPT3-Large
2082,M-BART50
2083,Human
2084,Human
2089,OPUS-MT
2090,ruGPT3-Small
2096,mT5-Large
2099,Human
2105,M-BART50
2107,Human
2109,ruGPT3-Small
2111,Human
2115,Human
2119,Human
2123,M2M-100
2125,Human
2126,OPUS-MT
2127,Human
2132,ruT5-Base-Multitask
2134,M-BART
2137,M-BART50
2144,M-BART50
2145,M-BART50
2148,M2M-100
2151,ruGPT3-Small
2152,ruT5-Base
2153,Human
2156,M-BART50
2158,Human
2159,mT5-Large
2160,Human
2164,Human
2166,ruGPT3-Medium
2171,Human
2172,Human
2174,ruT5-Base
2176,OPUS-MT
2178,Human
2179,Human
2181,ruGPT3-Small
2182,mT5-Small
2186,Human
2189,Human
2190,Human
2191,Human
2193,ruGPT3-Small
2195,Human
2196,ruGPT3-Medium
2198,M2M-100
2200,Human
2201,mT5-Large
2203,OPUS-MT
2204,Human
2205,ruGPT2-Large
2206,Human
2209,mT5-Large
2211,Human
2212,Human
2213,ruGPT3-Medium
2214,Human
2216,M-BART
2220,ruGPT3-Medium
2221,M2M-100
2224,M-BART
2225,ruGPT2-Large
2230,Human
2237,M2M-100
2239,ruGPT2-Large
2243,Human
2244,ruGPT3-Large
2245,ruGPT3-Large
2246,Human
2248,M-BART50
2253,OPUS-MT
2254,Human
2255,M2M-100
2256,M2M-100
2257,Human
2259,Human
2268,ruT5-Base
2272,M-BART
2273,M-BART50
2278,M-BART50
2279,M-BART50
2280,mT5-Large
2281,Human
2289,OPUS-MT
2296,Human
2301,M2M-100
2302,ruT5-Base-Multitask
2304,ruGPT3-Large
2306,Human
2310,OPUS-MT
2315,M-BART50
2316,Human
2320,Human
2326,Human
2328,M-BART50
2330,ruT5-Base
2331,Human
2336,M2M-100
2338,Human
2339,Human
2345,Human
2353,Human
2357,OPUS-MT
2358,mT5-Large
2359,ruT5-Base-Multitask
2362,OPUS-MT
2363,Human
2365,ruT5-Large
2367,M2M-100
2370,ruGPT3-Small
2374,ruGPT3-Small
2376,ruGPT3-Large
2382,OPUS-MT
2383,mT5-Large
2388,Human
2390,M2M-100
2393,ruGPT3-Large
2398,ruGPT3-Small
2407,OPUS-MT
2408,Human
2412,M-BART50
2417,OPUS-MT
2420,Human
2424,ruT5-Base
2429,ruT5-Base
2433,ruGPT3-Large
2434,Human
2446,mT5-Small
2448,mT5-Small
2453,Human
2454,Human
2455,ruGPT3-Small
2456,ruT5-Large
2457,mT5-Large
2459,ruGPT3-Large
2460,Human
2462,ruT5-Base
2465,ruGPT2-Large
2467,Human
2471,ruGPT3-Medium
2474,ruGPT3-Small
2476,ruT5-Large
2478,Human
2483,M2M-100
2487,ruGPT3-Small
2490,ruGPT3-Medium
2495,mT5-Large
2497,ruGPT3-Small
2504,Human
2505,mT5-Small
2506,Human
2507,M-BART50
2509,Human
2512,ruGPT3-Medium
2515,M-BART
2518,Human
2520,M2M-100
2524,OPUS-MT
2525,Human
2526,Human
2527,Human
2531,ruT5-Base
2533,M2M-100
2534,Human
2536,ruGPT2-Large
2537,M-BART50
2538,ruT5-Base
2539,ruT5-Base
2542,Human
2544,Human
2545,ruGPT3-Medium
2550,ruGPT3-Medium
2552,ruT5-Base-Multitask
2553,ruGPT3-Medium
2554,OPUS-MT
2559,ruT5-Base
2561,ruT5-Base-Multitask
2565,Human
2567,Human
2568,ruT5-Large
2571,Human
2578,ruGPT3-Small
2579,Human
2581,ruGPT3-Large
2582,ruGPT3-Medium
2587,Human
2589,ruGPT3-Small
2592,M2M-100
2594,M2M-100
2598,ruGPT3-Small
2601,ruGPT3-Small
2602,M2M-100
2605,ruGPT3-Large
2609,Human
2618,Human
2619,Human
2620,Human
2622,Human
2623,Human
2630,ruGPT3-Large
2632,M-BART50
2639,OPUS-MT
2641,ruGPT3-Large
2644,Human
2647,M2M-100
2651,ruGPT3-Small
2654,Human
2655,Human
2657,Human
2660,M-BART50
2662,mT5-Small
2669,ruT5-Base-Multitask
2672,Human
2676,Human
2679,ruGPT3-Large
2682,M2M-100
2686,mT5-Small
2689,ruGPT3-Small
2690,Human
2695,M-BART50
2703,ruGPT3-Medium
2704,ruGPT3-Medium
2706,M-BART50
2708,Human
2713,Human
2714,ruGPT3-Small
2717,OPUS-MT
2725,Human
2728,Human
2729,Human
2730,Human
2732,mT5-Large
2733,Human
2737,ruGPT3-Medium
2738,Human
2740,ruGPT3-Large
2742,Human
2744,M2M-100
2749,Human
2750,Human
2751,M2M-100
2752,ruT5-Base-Multitask
2754,Human
2760,M-BART
2763,M-BART50
2767,mT5-Large
2769,ruGPT3-Small
2771,OPUS-MT
2774,M2M-100
2778,Human
2779,Human
2782,ruGPT3-Large
2786,ruGPT3-Large
2788,Human
2803,M-BART50
2804,Human
2809,M2M-100
2811,Human
2812,ruGPT3-Large
2816,M2M-100
2827,Human
2829,ruGPT3-Medium
2843,ruT5-Base-Multitask
2847,OPUS-MT
2857,Human
2859,OPUS-MT
2860,Human
2861,Human
2864,Human
2865,Human
2866,M2M-100
2869,OPUS-MT
2871,M-BART50
2873,OPUS-MT
2878,ruGPT3-Large
2880,M2M-100
2881,OPUS-MT
2883,M2M-100
2891,M-BART50
2899,ruGPT2-Large
2903,Human
2910,ruGPT3-Medium
2912,ruGPT3-Large
2913,ruGPT3-Small
2918,M-BART50
2919,Human
2922,ruGPT3-Large
2924,ruGPT3-Large
2929,Human
2932,M-BART
2935,Human
2938,Human
2948,ruT5-Base-Multitask
2950,Human
2955,M-BART50
2956,Human
2960,ruGPT3-Medium
2963,M2M-100
2971,mT5-Large
2980,ruGPT3-Large
2981,ruGPT3-Small
2986,ruGPT3-Large
2992,ruT5-Base
2996,mT5-Large
2999,M-BART50
3000,Human
3003,ruT5-Base
3004,M-BART50
3007,Human
3008,ruGPT3-Medium
3009,OPUS-MT
3014,ruGPT3-Medium
3016,Human
3026,Human
3027,M-BART50
3035,ruGPT3-Medium
3036,Human
3041,M2M-100
3046,OPUS-MT
3049,M2M-100
3051,M2M-100
3053,ruT5-Base
3054,Human
3056,Human
3057,M2M-100
3069,Human
3070,Human
3071,M-BART50
3072,M2M-100
3073,ruGPT3-Medium
3081,M-BART50
3085,M-BART50
3086,M-BART50
3089,OPUS-MT
3092,ruGPT3-Medium
3094,Human
3096,M2M-100
3098,Human
3110,Human
3115,ruGPT3-Small
3118,M2M-100
3119,mT5-Small
3120,Human
3128,OPUS-MT
3137,ruGPT3-Small
3138,Human
3142,Human
3151,Human
3153,Human
3160,M-BART50
3161,Human
3166,ruT5-Base-Multitask
3172,ruT5-Large
3179,OPUS-MT
3185,ruT5-Base
3192,ruGPT2-Large
3193,Human
3194,mT5-Small
3201,OPUS-MT
3202,Human
3203,M-BART50
3209,OPUS-MT
3218,ruGPT3-Medium
3222,ruGPT3-Medium
3224,mT5-Small
3225,M-BART50
3231,OPUS-MT
3232,Human
3233,Human
3234,Human
3235,ruGPT3-Large
3237,ruGPT3-Medium
3238,Human
3240,ruGPT3-Large
3247,Human
3249,OPUS-MT
3253,OPUS-MT
3255,M-BART50
3257,ruGPT3-Large
3264,OPUS-MT
3265,M2M-100
3269,Human
3274,OPUS-MT
3288,ruGPT3-Small
3293,OPUS-MT
3295,M-BART50
3296,Human
3298,mT5-Large
3303,ruGPT3-Large
3314,mT5-Large
3315,M-BART50
3316,ruGPT2-Large
3317,Human
3318,ruGPT3-Large
3323,ruGPT3-Large
3324,Human
3332,M2M-100
3335,M2M-100
3342,ruGPT3-Medium
3346,Human
3351,mT5-Large
3352,Human
3353,Human
3354,Human
3358,Human
3365,mT5-Large
3368,Human
3383,Human
3385,ruGPT3-Medium
3386,OPUS-MT
3388,ruT5-Base-Multitask
3390,Human
3392,Human
3393,M2M-100
3396,ruGPT3-Large
3397,ruGPT3-Medium
3399,M-BART50
3400,M-BART50
3403,ruT5-Base-Multitask
3404,Human
3421,OPUS-MT
3423,ruGPT3-Medium
3425,Human
3429,ruGPT3-Small
3432,ruGPT2-Large
3438,Human
3444,ruGPT3-Large
3445,OPUS-MT
3446,M2M-100
3449,OPUS-MT
3452,M2M-100
3458,Human
3459,Human
3460,ruGPT3-Medium
3461,M2M-100
3463,Human
3464,M2M-100
3465,Human
3467,M2M-100
3468,ruGPT3-Small
3472,M-BART50
3473,OPUS-MT
3475,OPUS-MT
3478,M-BART50
3492,M-BART50
3493,ruT5-Base-Multitask
3495,OPUS-MT
3496,Human
3501,Human
3502,M-BART50
3507,Human
3510,ruGPT3-Medium
3515,Human
3518,ruGPT3-Small
3519,ruGPT3-Medium
3521,M2M-100
3525,Human
3527,M-BART50
3535,Human
3543,Human
3544,M2M-100
3546,Human
3547,Human
3548,Human
3549,OPUS-MT
3551,Human
3552,Human
3556,ruGPT3-Large
3560,Human
3562,Human
3565,ruGPT3-Large
3566,Human
3568,Human
3570,Human
3572,mT5-Small
3580,OPUS-MT
3583,ruGPT3-Large
3590,OPUS-MT
3595,ruGPT3-Large
3601,OPUS-MT
3603,M2M-100
3604,ruGPT3-Medium
3613,Human
3615,M-BART50
3617,Human
3618,ruGPT3-Small
3622,Human
3627,Human
3628,OPUS-MT
3629,ruGPT3-Medium
3634,ruT5-Base
3639,M2M-100
3640,mT5-Large
3646,OPUS-MT
3648,Human
3650,mT5-Large
3656,ruGPT3-Large
3658,OPUS-MT
3667,Human
3669,Human
3675,M-BART50
3677,OPUS-MT
3681,mT5-Large
3682,ruGPT3-Small
3683,Human
3685,M2M-100
3692,M2M-100
3693,ruGPT3-Small
3696,Human
3699,Human
3703,mT5-Small
3705,Human
3706,Human
3708,Human
3711,mT5-Small
3716,ruGPT3-Small
3717,Human
3727,ruGPT3-Large
3729,Human
3730,Human
3733,M2M-100
3734,ruGPT2-Large
3736,M2M-100
3740,Human
3741,ruGPT3-Small
3746,M-BART
3747,OPUS-MT
3749,Human
3753,OPUS-MT
3755,M-BART
3758,Human
3762,M2M-100
3766,ruGPT2-Large
3767,OPUS-MT
3770,Human
3773,ruGPT3-Large
3782,Human
3783,OPUS-MT
3784,Human
3785,ruGPT3-Small
3787,Human
3788,Human
3790,Human
3793,Human
3800,mT5-Large
3802,M2M-100
3805,M-BART50
3806,Human
3811,ruGPT3-Large
3814,M-BART50
3819,M-BART50
3823,Human
3828,ruT5-Base
3829,ruGPT3-Small
3830,Human
3831,ruGPT3-Medium
3849,Human
3855,M-BART50
3859,ruT5-Base-Multitask
3864,OPUS-MT
3865,ruT5-Base
3866,Human
3867,Human
3869,M-BART50
3871,Human
3874,OPUS-MT
3878,ruGPT3-Small
3881,ruT5-Base
3884,mT5-Large
3888,OPUS-MT
3890,Human
3892,ruT5-Base-Multitask
3893,M2M-100
3896,M-BART50
3899,ruGPT3-Large
3900,M-BART50
3905,ruGPT3-Small
3907,Human
3910,Human
3912,OPUS-MT
3913,M-BART
3920,Human
3926,OPUS-MT
3930,M-BART50
3932,ruGPT3-Large
3933,Human
3936,Human
3940,Human
3945,Human
3949,ruGPT2-Large
3950,M2M-100
3951,M-BART
3952,M-BART50
3954,ruGPT3-Medium
3955,Human
3956,ruGPT3-Large
3957,M-BART50
3959,Human
3961,Human
3967,M-BART
3969,M2M-100
3970,ruGPT3-Small
3971,Human
3978,ruT5-Base
3980,Human
3981,Human
3983,Human
3984,ruGPT3-Medium
3986,mT5-Large
3987,ruGPT2-Large
3991,mT5-Small
3994,OPUS-MT
3996,mT5-Small
3997,ruGPT2-Large
4010,ruGPT3-Large
4014,Human
4015,mT5-Large
4016,M2M-100
4020,Human
4024,mT5-Large
4027,OPUS-MT
4030,M-BART50
4033,OPUS-MT
4036,M2M-100
4037,M-BART50
4040,Human
4042,Human
4045,ruGPT3-Large
4048,M2M-100
4050,Human
4053,Human
4055,Human
4059,Human
4060,Human
4064,M-BART50
4065,M-BART50
4066,M2M-100
4068,M-BART
4069,ruGPT3-Small
4070,Human
4073,M-BART50
4075,M2M-100
4079,ruGPT3-Large
4080,Human
4082,OPUS-MT
4083,M2M-100
4085,OPUS-MT
4087,ruGPT3-Small
4088,Human
4089,Human
4096,Human
4100,M-BART50
4105,ruGPT3-Small
4109,M2M-100
4111,M-BART50
4118,OPUS-MT
4119,Human
4123,ruGPT3-Medium
4128,M2M-100
4131,M2M-100
4135,Human
4137,ruGPT3-Medium
4139,Human
4141,Human
4142,M-BART
4145,Human
4148,ruGPT3-Large
4152,ruGPT3-Large
4155,mT5-Small
4156,Human
4157,Human
4158,OPUS-MT
4163,Human
4165,ruT5-Base-Multitask
4168,OPUS-MT
4170,Human
4171,Human
4173,Human
4175,M2M-100
4178,OPUS-MT
4182,Human
4183,ruGPT3-Large
4185,M-BART
4186,ruGPT3-Large
4188,ruGPT3-Small
4192,OPUS-MT
4193,OPUS-MT
4195,Human
4197,Human
4201,ruGPT3-Large
4214,M-BART50
4217,Human
4221,M-BART50
4224,M2M-100
4227,Human
4231,Human
4234,ruGPT3-Small
4246,M-BART50
4247,M2M-100
4249,Human
4250,ruT5-Base
4254,Human
4255,OPUS-MT
4262,ruGPT3-Small
4264,Human
4269,Human
4272,OPUS-MT
4274,M2M-100
4275,ruGPT3-Large
4289,M2M-100
4293,M2M-100
4295,Human
4300,ruGPT3-Small
4301,M-BART50
4302,Human
4305,Human
4308,M-BART50
4310,Human
4314,M-BART50
4316,OPUS-MT
4318,Human
4324,M-BART50
4326,M-BART
4328,Human
4331,M2M-100
4333,Human
4337,ruGPT3-Medium
4342,Human
4343,Human
4345,Human
4346,OPUS-MT
4357,Human
4358,Human
4360,Human
4361,OPUS-MT
4362,OPUS-MT
4363,M2M-100
4366,Human
4367,ruT5-Base-Multitask
4368,mT5-Large
4372,Human
4373,mT5-Large
4374,Human
4377,ruT5-Base
4378,M-BART50
4381,M2M-100
4384,ruT5-Base
4394,Human
4396,M-BART50
4397,ruGPT3-Medium
4401,M-BART50
4404,ruGPT3-Medium
4412,Human
4417,M-BART50
4430,ruGPT3-Small
4431,ruGPT3-Medium
4432,M2M-100
4439,Human
4447,Human
4448,Human
4452,ruGPT3-Medium
4454,OPUS-MT
4458,Human
4460,ruT5-Base
4461,ruGPT3-Medium
4463,Human
4466,ruGPT2-Large
4472,M2M-100
4482,Human
4483,ruGPT3-Small
4485,ruGPT3-Medium
4487,M-BART50
4491,ruGPT3-Large
4496,ruGPT3-Medium
4499,mT5-Large
4501,Human
4506,ruGPT3-Medium
4507,M2M-100
4509,ruGPT3-Small
4510,mT5-Small
4511,Human
4513,ruGPT3-Large
4514,Human
4516,ruGPT3-Medium
4522,ruGPT3-Small
4528,Human
4536,M2M-100
4537,Human
4541,Human
4544,ruGPT3-Small
4545,Human
4546,M2M-100
4550,Human
4556,ruGPT3-Large
4557,M-BART50
4561,Human
4562,M2M-100
4571,M-BART50
4579,Human
4580,Human
4581,ruGPT3-Large
4582,Human
4584,Human
4596,ruGPT3-Small
4597,Human
4599,M-BART50
4604,M-BART50
4609,OPUS-MT
4611,Human
4612,Human
4616,Human
4628,Human
4629,M-BART
4631,Human
4632,ruGPT3-Small
4633,Human
4638,Human
4641,Human
4646,Human
4647,ruGPT2-Large
4651,ruT5-Base
4654,OPUS-MT
4656,Human
4657,Human
4658,ruT5-Base
4666,Human
4667,OPUS-MT
4668,M-BART50
4669,ruGPT3-Medium
4670,M-BART50
4674,Human
4676,OPUS-MT
4678,Human
4683,Human
4686,Human
4691,ruT5-Base
4694,Human
4695,mT5-Small
4696,Human
4697,ruT5-Base
4699,Human
4701,M-BART
4705,ruGPT3-Small
4710,ruGPT3-Medium
4714,Human
4716,Human
4717,ruGPT3-Medium
4719,OPUS-MT
4726,ruGPT3-Medium
4728,Human
4731,Human
4739,ruGPT3-Large
4740,Human
4742,Human
4750,ruGPT3-Small
4751,Human
4753,ruT5-Base
4754,ruGPT3-Small
4757,Human
4759,mT5-Small
4764,Human
4769,ruGPT3-Small
4772,ruGPT3-Medium
4773,Human
4775,Human
4777,ruGPT2-Large
4778,Human
4779,Human
4780,Human
4781,OPUS-MT
4783,M2M-100
4785,Human
4790,Human
4791,Human
4795,OPUS-MT
4796,Human
4799,M2M-100
4802,ruT5-Base
4804,ruGPT3-Small
4811,mT5-Large
4820,Human
4835,Human
4841,Human
4843,M2M-100
4849,OPUS-MT
4853,M-BART
4859,Human
4861,M2M-100
4863,ruGPT3-Large
4864,M2M-100
4868,M-BART50
4870,M2M-100
4874,M2M-100
4878,ruGPT3-Medium
4882,ruT5-Base
4888,M2M-100
4891,Human
4896,ruGPT3-Small
4899,OPUS-MT
4900,mT5-Large
4902,OPUS-MT
4906,M-BART50
4914,Human
4923,mT5-Small
4927,Human
4928,ruT5-Base-Multitask
