text,majority_vote
"Grand Theft Auto V будет анонсирована в ближайшее время, пишет издание CVG со ссылкой на раздел слухов в последнем выпуске OXM. Сообщается, что события новой части будут разворачиваться в наше время на улицах Лос-Анджелеса, а в игре будут шутки на такие темы, как социальные сети и ипотечный кризис. GTANET.com предполагает, что студия Rockstar может провести презентацию GTA V на выставке Gamescom, которая пройдет в Кельне с 17 по 21 августа 2011 года. Слухи о том, что вскоре студия Rockstar покажет новую часть франшизы, появились еще в конце февраля 2011 года. Тогда было обнаружено, что компания Take-Two Interactive , владеющая студией, зарегистрировала на себя такие домены как CashForDeadDreams.com, SixFigureTemps.com, StopPayingYourMortgage.net, HammersteinFaust.com и LifeInvader.com. Журналисты пришли к выводу, что эти сайты будут использованы для вирусной рекламной кампании игры. Позже, в марте, Гилберт Готтфрид (Gilbert Gottfried) написал у себя в твиттере о том, что он будет озвучивать главного героя игры. И, хотя запись была быстро удалена, она подогрела слухи о выходе новой части. Игра Grand Theft Auto 4 вышла на консолях в конце апреля 2008, а на PC - в начале декабря того же года. Главным героем игры был Нико Беллик, эмигрант из Сербии, приехавший покорять американский Либерти Сити. К марту 2011 было продано более 20 миллионов копий, а общее количество проданных игр серии составило более 100 миллионов экземпляров.",H
Het Wilhelmus получил своё название от первого слова песни.,H
"Micoft выявила атакующих пользователей через смартфоны и планшеты скрытого типа ""Найт"".",H
"Practice of water-cutting in rural villages, т.е., деревья в основном старые и arides, и находятся в стадии исчезновения.",M
Rambler Group входит в тройку крупнейших игроков на рекламном рынке России с совокупной годовой выручкой около $70 млрд.,H
"Rdt) - (0.5 + 1/3*x^2-1).$  /
00:01, 13 октября 2014 г.(UTC+9), ссылка на новость : http://www.membranaonline ru/. Комментарии можно оставлять в комментариях здесь или через форму справа./Authorization of the Case for Discovery Of The Fracture Machinery in a Possible World//Jeffrey Krishna and Ranchi Narayana Gupta's report on how to discover potential mine exploits has been published by",M
Rechtikkeit: right и leftousness могут означать только приставки; с этим также согласны,M
Rhizanthella omissa D.L. Jones & M.A. Clem.,H
"Risks, которые не регулируются, относятся, в первую очередь, к ситуациям с силой.",M
S – proportion газифицированных деревень в общем газифицированных деревень в муниципалитете Сергиev Posad (quota газифицированных деревень) (%);,M
"SFIE заявил, что «не получил никаких официальных комментариев от SFE с момента первого обращения».",H
Saosin по-китайски значит «осторожный» (小心 xiǎo xīn).,H
St. Anger St. Angel - это третий альбом американской певицы Майли Сайрус.,H
VID будет соответствовать точно одному из возможных наборов кратчайших путей в сети и никогда не будет отклоняться от заданной маршрутизации.,H
Want some juice? Он находится в холодильнике.,M
Why я не говорю до входа?,M
"Zatsuki оказались веселы и бодры стариками, а старухи были весёлы и бодлы.",M
"[33]

новый день новые возможности тэхён собрался в универ а у чонгука всё еще краш вы же помните да? ",M
[Из песочницы] Пара способов отправить уведомления на смартфон со своего сервера ,H
"[ТВИТТЕР] SIRIUSXM
Сладкое или соленое? Собаки или кошки? Книги или фильмы?  делают трудный выбор в новом выпуске «This or That.»   ",M
"\""Они строги и черты крупы черствы, характер не разбавлен мелочью.",M
"qytan (также пишется как qiÄ tan, но) был китайским (то бишь монгольским) военачальником из Маньчжоу-го — кидан.",H
«California» был также выпущен в Германии с обновленной белой обложкой.,H
"«Investigation crash MH17, 17 July 2014 Donetsk.» Dutch Safety Board. (англ.)",M
"«Ада, женский шпион, жива»",M
"«ВандаВижн» перенесли на январь 

С годом без контента Марвел",M
«Гости из будущего» — «Ты где-то»,H
"«Если россияне готовы добиться успеха в своих усилиях, это должно быть сделано при поддержке внешнего мира», — сказал Талбот.",H
«Зарянка» - коллектив городского Дворца культуры железнодорожников.,H
"«Исполком МОК утвердил список из 15 спортсменов, которые не смогут выступать за Россию на Олимпиаде 2018 в Пхёнчхане"". ""В этот же день стало известно о решении Международного олимпийского комитета (МОКа) исключить российских легкоатлетов Дениса Короткова и Евгения Устюгова с Олимпиады-2018. В случае отказа от участия они должны будут пройти процедуру дисквалификации"", - говорится... → По данным агентства «РБК», решение было принято накануне заседания исполкома Международной ассоциации лыжных видов спорта — организации по управлению лесами Северной Америки («ILA») после того как президент Олимпийской деревни Скотт Макконнелл заявил агентству Reuters, что Россия должна отказаться выполнять рекомендации IAAF об исключении ее членов до начала зимней сессии Игр 2022 года: это необходимо для подготовки к чемпионату мира 2019 г., а также чтобы избежать проблем при подготовке зимних Олимпийских игр 2020 гг.. При этом глава оргпрефектуры Лондона Питер Кушнер отметил : российские лыжники уже были исключены ранее.
001 – Охота ради охоты 002–Охотник 013—Бойцовская охота 034	danilchenko1973;056;;128;&lt;.lj_page none                                
   02507;&#1090;, &#11019 ; 0&ampaumldquo\t03490=15570 } //-->0280 = 11730//"" alt=""img src/bannerboxes /mediaplayers."" titleif(window['iconvideo__settingsLayoutFormatContentTypeExtraDivXMinWidth]==null)){ var widthSizeRangePositions + 2 * heightOffsetLeftHasHeight+ 5*25%xyzfalse || wrapToBorder { 'backgroundColor', fillcolourGreyBlue!75!autoportingVisible? true:""""; colorSpriteStringName++? documentAnnotationKeyboardInterface((storedinsertBeforeItem)? insetsUnderGeometryChanged): new DOMEditorialConteudocolException (""Unknown key value for the property in this editor"") [info][valuesForProperties].getByClassOrIndex () ) asynchronousWithAndThrowableAdaptedArrayOnly); eloadScreenFromYandexMonitoryPluginfalleryAsEnabledApplications.(hovermouseup).appendAllSh",M
"«Кейн: Ваши старания привели нас сюда, мой верный друг.",H
«Литература: точка зрения»,H
"«Маршал» не побежден, революция не побеждена, но признают, что восстание не удалось, и не надо было его делать.",H
"«На восьми улицах и вылетных магистралях запланирована высадка почти 2,3 тысячи деревьев-крупномеров и более 14 тысяч кустарников, - отметил Петр Бирюков.",H
"«Новый респираторный госпиталь открыт сегодня, 29 ноября, на базе больницы скорой медицинской помощи Томска», - говорится в сообщении.",H
"«Падение курса афгани по отношению к иностранной валюте носит временный характер, и это [произошло] из-за внезапно изменившейся ситуации [в стране].",H
«Слово в день собрания Господня».,H
«Три страны присоединятся к гонке на «Оскар».,M
"«Я не могу, я не могу убить! Он повторил это как волшебство.",M
"А вот каждая страница книги будет продана за сумму от 2,5 до 4,5 тысяч долларов.",H
А вот эти робяты графа Строганова соль везут с Солей Камских.,M
"А знаете что закрытие Бондаренко означает ? Это ничто иное как признание победы интернета над телевизором , друзья ! И ещё , осень будет очень жаркой в этом году.",H
А мы со своей разницей в 6 часов в мск и спб ещё жалуемся ,H
А на сегодняшний день наиболее известной сольной работой Федорова является «Весна» вышедшая в 2012 году.,H
"А он считал, что ""болящий дух врачует песнопенье"".",H
А праздники и люди столицы предпочитают арендовать жилье в исторических центрах или легендарных домах.,M
А прогулка с бывшим в карантин считается выгулом собаки?,H
"А хотел бы в строй -- Я шесть лет служил в поезде Москва -- Владивосток, -- сказал Низвецкий, волнуясь.",H
"АДМИНИСТРАТОР 

- Я не хочу, чтобы у меня в доме была эта комната,- заявил он. - Она слишком маленькая и для моей семьи... Мне нужно было бы ее сделать поменьше: я хотел видеть все своими глазами! Но теперь мне надо найти способ уменьшить размеры этой комнаты на двадцать пять футов каждый дюйм по сравнению с той высотой потолка из нашего старого дома!.. Да еще эти стены будут сделаны так же хорошо как наши окна или потолки наших домов; это будет выглядеть очень глупо!... А что касается мебели...- Он замолчал.- Вы ведь",M
Абрамс опроверг свое участие в съёмках картины незадолго до объявления имени нового режиссёра.,H
Абсолютное финансовое обеспечение работ из минимального перечня осуществляется за счет бюджетных ассигнований городского бюджета.,H
"Абсурдные вопросы, которые вы задаете.",H
"Август. Его задержать бы, но…
Тихо уйдёт. Никого не спросит.
Словно прокрученное кино,
Лето закончится ровно в осень. ",H
"Авиабилеты не, но почти все время, это правда, с перерывами и далеко.",M
"Агриппина чувствует, что теряет влияние на сына.",H
Административный центр колонии - это деревня типа Ленин.,H
Администрация Алаботинского сельского поселения Русско-Полянского муниципального района Омской области при необходимости может осуществлять мониторинг муниципальной программы в форме ежемесячного запроса информации о ходе реализации муниципальной программ от всех участников ее реализации. В целях организации работы по качественному и своевременному исполнению муниципального программы Администрация при необходимости осуществляет ее мониторинг.,H
Адреси участвующих узлов 00:00:00:00:00:00...,M
Азиз был выбран президентом Мушаррафом на должность премьер-министра после отставки Зафаруллы Хана Джамали 6 июня 2004 года.,H
"Актер о главном сценарии, еще не поступил.",M
Актер театра имени Маяковского Дмитрий Солодовник скончался от рака желудка.,H
"Активно используется геотермальная вода в качестве лечебно-профилактического источника для лечения заболеваний сердечнососудистой системы. В состав питьевой воды входят минеральные источники с температурой от 25 до 30°С, солевые и щелочные соли (кальций), органические кислоты — калийная соль натрий хлориды железа; биологическая активность морской углекислоты составляет 0:00000 мг/л при температуре воздуха +20...+25 ° С. 
 Вода обладает выраженным бактерицидным свойством по отношению ко многим болезням организма человека : раку молочной железы, рак желудка ; туберкулезу легких или бронхов у",H
"Активным центром сопротивления было село Бузулук, в котором находилось около 200 домов. В селе находились и советские военные части — батальон связи с танковым батальоном из Челябинска во главе со старшим политруком Аверьяном Кочетовым (в последствии генерал-майором) для организации восстания против оккупантов; отряд особого назначения под командованием лейтенанта Ивана Шумилова численностью до 500 человек по кличке «Тигр».
В начале апреля 1941 года к селу подошел немецкий конвойный полк СС ""Лейбштандарт Адольф Гитлер"" при поддержке танков Т–IV дивизии фольксдойч («Гитлер",H
"Актуальность разработки Стратегии также обусловлена такими факторами, как принятие Федерального закона от 28.06.2014 № 172-ФЗ «О стратегическом планировании в Российской Федерации», Закона Республики Татарстан от 16 марта 2015 г. №12-ЗРТ «О стратегическом планировании в Республике Татарстан» и Закона Республики Татарстан от 17.06.2015 г. № 40-ЗРТ «Об утверждении Стратегии социально-экономического развития Республики Татарстан до 2030 года», ежегодным Посланием Президента Республики Татарстан Государственному Совету Республики Татарстан, установившими правовые основы стратегического планирования в области социально-экономического развития.",H
"Алексей Навальный неоднократно говорил, что Фонд будет открыт, как это и делается в демократическом обществе.",H
Алексей Учитель о романе балерины и цесаревича Николая Александровича.,H
"Алексиевич отмечает, что в Беларуси страна, хотя и медленно и неохотно, но стала лучше, а некоторые определения показывают, что об этой стране мало известно.",M
Альберто Контадор Веласко (родился 6 декабря 1982 года в Мадриде) - испанский шоссейный велогонщик команды «Астана».,H
"Альбом был выпущен 20 марта 2013 года для тех, кто поддерживал проект на PledgeMusic, и 22 марта 2013 года для широкой публики.",H
Американская певица выиграла иск против любовника за украденный автомобиль.,H
"Американские исследователи обнаружили, что обугленные птичьи перья могут использоваться в качестве материала для производства баков для хранения водорода. Об этом сообщает ScienceNOW, а свои результаты исследователи представили на ежегодной Конференции по экологичному инженерному делу и химии (Annual Green Chemistry and Engineering Conference). Изначально исследователи планировали использовать термически обработанные перья в электронике, однако неожиданно обнаружили у них иное, более интересное свойство. Оказалось, что сложная система внутренних полостей перьев способна хранить водород, масса которого составляет примерно 1,7 процента массы перьев. По словам исследователей, этот показатель близок к показателю углеродных нанотрубок, которые в настоящее время являются самым перспективным материалом для хранения H2. Кроме этого структурный анализ позволил определить, что и по прочности обработанные перья сравнимы с нанотрубками. Отличительной особенностью новой технологии является стоимость получающихся баков. Ежегодно мировое птицеводство производит около 2,7 миллиона тонн перьев, поэтому недостатка в исходных материалах нет. Ученые подсчитали, что, учитывая термическую обработку, стоимость водородного бака для типичного автомобиля составит примерно 200 долларов. Стоимость аналогичного бака, выполненного из нанотрубок, составит несколько миллионов долларов. Слабой стороной новой технологии является относительно малое соотношение сохраняемого водорода и массы бака. Согласно данным министерства энергетики США, необходимое значение данного соотношения, которое позволит начать массовое внедрение водорода в качестве топлива для автомобилей, составляет около 0,06. Сами исследователи оптимистично относятся к своей технологии: по их словам, у нее есть большой потенциал для усовершенствования. Многие экологи называют водород топливом будущего. Основным его преимуществом перед углеводородами является то, что при сжигании в качестве продукта получается вода. Основной трудностью является относительно невысокая плотность H2 - из-за этого существующие двигательные установки на этом газе включают сложную установку для хранения газа под большим давлением при низкой температуре.",H
"Американские ученые обнаружили связь между продолжительностью сна в детстве и развитием вредных привычек. Они доказали, что отсутствие полноценного сна у ребенка может в будущем привести к злоупотреблению алкоголем и наркотиками.",H
"Американские фондовый рынки закрылись небольшим снижением, поскольку рынки жилья были расстроены из-зи плохих экономических данных.",M
Анализ проводился в контексте крупномасштабного кризисного опыта прошлого века.,H
Английский пример может быть: тот человек является солдатом против тех мужчин являются солдатами.,M
"Антоша приехал от Толстого, а с ним Селиванова.",H
"Аргентина не отказывалась и от строительства третьего крейсера, но решили перенести заказ на будущее, когда ожидалось улучшение финансового положения.",H
"Артинский городской округ входит в состав Оренбургской области Российской Федерации.
Город расположен на берегу реки Урал, недалеко от её впадения справа - река Белая (бассейн Волги). На реке стоит город Соль-Илецкий и село Сорочинск. Население города составляет около 1 тыс человек, из них русские — 95 %, украинцы— 5 %. В городе есть железнодорожная станция «Сорока». Город связан автобусным маршрутом с райцентром Оренбуржья городом Красногвардейском через станцию Сорокино («Малая родина»).",H
